标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
70年产权通天然气.，户型方正,"华盛峰荟名庭 , 观澜",3室1厅,56.18平米,南 北,简装,中楼层(共36层),2016年,板塔结合,128 万,22784 元,79,,,近地铁 | VR看装修 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105104523765.html,地铁 | VR看装修 | 房本满五年 | 随时看房,70年产权通天然气配套齐全，户型方正,深圳市华盛智地房地产开发有限公司。物业公司：深圳市华盛物业管理有限公司，小区24小时安保巡逻。小区内部配套：儿童游乐场，健身活动区，小区园林，游泳池。,商场：小区内异国风情街，餐饮街，综合购物超市大润发。医院：观澜人民医院，深圳伟光医院，广东医学院附属观澜医院邮局：观澜街道-富民邮政代办所银行：鼎业银行（观澜支行），深圳农村商.业银行（滨河支行）其他：观澜人民公园，九龙山，观澜河,,,,2015-08-28,2020-06-05,商品房,商务公寓,满五年,非共有,有抵押 42万元 客户偿还,挂牌时间:2020-06-05 | 交易权属:商品房 | 上次交易:2015-08-28 | 房屋用途:商务公寓 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 42万元 客户偿还 | 房本备件:已上传房本照片,客厅 / 12.59平米 / 南 / 落地窗 ; 卧室A / 5.46平米 / 南 / 普通窗 ; 卧室B / 7.86平米 / 无 / 未知窗户类型 ; 厨房 / 3.32平米 / 南 / 普通窗 ; 卫生间 / 2.76平米 / 无 / 无窗 ; 阳台 / 2.09平米 / 南 / 普通窗 ; 储物间 / 4.79平米 / 无 / 无窗,
招商锦绣观园，业主诚心卖，价格有商量。,"招商锦绣观园 , 观澜",2室1厅,62.8平米,东北,简装,低楼层(共28层),2014年,,155 万,24682 元,3,,,VR看装修,https://sz.lianjia.com/ershoufang/105121415256.html,VR看装修,此房设施配套齐全，业主保养的好，在小区里面朝花园，不吵。,背靠茜坑水库，是饮用水源保护区，后面不会再开发，空气质量优。,小区楼下有公交首末站，可以直达茜坑地铁站，也可以直达天虹购物中心。,,,,暂无数据,2025-07-11,商品房,普通住宅,暂无数据,共有,有抵押 10万元 业主自还,挂牌时间:2025-07-11 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:共有 | 抵押信息:有抵押 10万元 业主自还 | 房本备件:未上传房本照片,,
福星雅园  1室0厅 东,"福星雅园  , 观澜",1室0厅,20.47平米,东,简装,高楼层(共12层),1999年,,23 万,11236 元,0,,4天以前发布,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105122322022.html,VR看装修 | 房本满五年,,,,,,,1999-03-05,2025-10-03,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2025-10-03 | 交易权属:商品房 | 上次交易:1999-03-05 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,,
奥宸观壹城 2室2厅 东,"奥宸观壹城 , 观澜",2室2厅,63.69平米,东,,高楼层(共32层),2023年,板塔结合,180 万,28262 元,2,,23天以前发布,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105122138369.html,地铁 | VR看装修,,,,,,,暂无数据,2025-09-15,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-09-15 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
珑门名苑，次新花园社区，人车分流，小区环境优美.,"珑门二期 , 观澜",3室2厅,76.56平米,西南,精装,33层,2018年,板塔结合,258 万,33700 元,3,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105119450082.html,VR看装修 | 随时看房,珑门名苑，次新花园社区，人车分流，车位充足，小区环境优美.,小区带花园，绿化高，三层地下停车位，车位充足，家门口公办 ，小区自带公办 ，小区环抱观澜文体公园，门口公交站，两大高速，交通方便,旁边有体育馆，体育公园，民法公园’旁边就是观光路直通梅观高速，接外环高速‘,旁边就是观光路直通梅观高速，接外环高速‘旁边有体育馆，体育公园，民法公园,,,暂无数据,2025-01-10,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-01-10 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
满五不唯一，精装修，大阳台，三房,"格澜郡二期 , 观澜",4室2厅,96.54平米,东南 西北,精装,高楼层(共18层),2007年,板塔结合,370 万,38327 元,3,,,VR房源 | 房本满五年,https://sz.lianjia.com/ershoufang/105119031009.html,,,,,,,,,,,,,,,,,failed: Failed to fetch detail page after 3 attempts: https://sz.lianjia.com/ershoufang/105119031009.html
"满五唯一红本在手,高层通风采光好,近公园购物商场","福星雅园  , 观澜",1室0厅,17.48平米,南,简装,低楼层(共12层),1999年,,23 万,13158 元,2,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105121425540.html,VR看装修 | 房本满五年,"满五唯一红本在手,高层通风采光好,近公园购物商场",小区是观澜市政明星项目，低密度围合式大花园绿化高，环境优美适合居住,小区的购物商场，体育公园，书包教育都在楼下500米内适合老人小孩学龄儿童以及上班族居住,,,,1999-03-05,2025-07-12,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2025-07-12 | 交易权属:商品房 | 上次交易:1999-03-05 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,,
6米层高复式两层，近观澜河，配套完善,"美佳华首誉 , 观澜",2室1厅,65.55平米,西,精装,高楼层(共28层),2013年,板塔结合,180 万,27460 元,3,,,近地铁 | VR房源 | 随时看房,https://sz.lianjia.com/ershoufang/105121352751.html,地铁 | VR房源 | 随时看房,四号线茜坑地 铁旁70年产权民水民电通燃气带阳台的复式公寓,小区位于龙华新区政府南侧，观澜大道与环观南路交汇处，东临观澜河及沿河景观，南面市政公园，片区居住与商.业氛围较为浓厚，而且梅观高速改造为深圳南北向深南大道后交通更为便捷，边上就是福城天虹购物，和龙外福城校区,小区为观澜首创的一站式的集中体，包括：购物、餐饮、休闲、娱乐等多种业态小区，出门合正一二三期 未来有品牌商家进驻，已确定品牌主力店福城天虹、KFC、美佳华儿童乐园等品牌，未来会有影院、餐饮、娱乐等基本配套。苏宁电器、面点王、拾味馆、芳都酒..,,,,暂无数据,2025-07-06,商品房,商务公寓,暂无数据,非共有,无抵押,挂牌时间:2025-07-06 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:商务公寓 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
此房满五年 位于中间楼层  通风采光好,"金地鹭湖1号 , 观澜",3室2厅,88.5平米,东北,精装,低楼层(共16层),2018年,塔楼,345 万,38984 元,5,,,VR房源 | 随时看房,https://sz.lianjia.com/ershoufang/105118167050.html,VR房源 | 随时看房,此房满五年 位于中间楼层 朝西南向 通风采光好,金地鹭湖1号位于龙华区观澜街道梅观高速与环观南路交汇处;鹭湖国际住区项目主打户型产品：建面89㎡三房。 项目占地面积约91197.68平方米，总建筑面积约164150平方米。,,轨道交通：有轨电车站台，高新园西站（电车接驳地铁4号线清湖地铁口），公交线路：公交（观澜高新园站）M567、M264、313、E4路等，高速公路：机荷高速公路、梅观高速公路，交通方便,,,暂无数据,2024-09-03,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2024-09-03 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 25.89平米 / 东 / 普通窗 ; 卧室A / 7.49平米 / 无 / 未知窗户类型 ; 卧室B / 9.28平米 / 北 / 落地窗 ; 卧室C / 13.84平米 / 无 / 未知窗户类型 ; 厨房 / 4.09平米 / 北 / 普通窗 ; 卫生间A / 4.07平米 / 西 / 普通窗 ; 卫生间B / 4.83平米 / 北 东南 / 普通窗 ; 阳台 / 3.5平米 / 东 / 普通窗 ; 过道 / 3.36平米 / 无 / 无窗,
中森次新房，毛坯，看花园安静，看房方便,"中森公园华府 , 观澜",2室2厅,69.22平米,南,毛坯,中楼层(共30层),2020年,板塔结合,220 万,31783 元,5,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105119645991.html,VR看装修 | 随时看房,看花园视野开拓，采光通风好，配套齐全，交通便利,开发商为深圳中森，是以房地产为产业的企业，主要以珠三角地区和成渝地区为发展区域。 在深圳有几个住宅地产项目，为人熟知的应该是科技园片区华润城邻居的英伦名苑1-3期，以及龙岗的中森双子座。,项目位于龙华区观澜板块，观湖街道的东南方位。所在区域是深圳中轴北的产业，南接坂田天安云谷、龙华宝能科技城，东连平湖金融与现代服务业基地，西临观澜高新产业园， 北为观澜传统制造业聚集地带。项目西侧约1.6公里处为鹭湖科技文化片区,距有轨电车1公里，接驳地铁：中森白鸽湖老村，位于环观南路，项目距离龙华有轨电车2号线的终点站下围站约1公里步行距离（百度地图测量，仅供参考），通过有轨电车接入深圳地铁轨道交通网络，目前已在地铁4号线清湖站接通，待2020年底4号线北延段开通后,,,2020-09-03,2025-02-11,商品房,普通住宅,未满两年,非共有,有抵押 194万元,挂牌时间:2025-02-11 | 交易权属:商品房 | 上次交易:2020-09-03 | 房屋用途:普通住宅 | 房屋年限:未满两年 | 产权所属:非共有 | 抵押信息:有抵押 194万元 | 房本备件:已上传房本照片,客厅 / 24.55平米 / 西 / 普通窗 ; 卧室A / 8.1平米 / 西 / 落地窗 ; 卧室B / 7.98平米 / 无 / 未知窗户类型 ; 厨房 / 5.56平米 / 无 / 未知窗户类型 ; 卫生间 / 4.26平米 / 无 / 未知窗户类型 ; 阳台A / 3.89平米 / 西 / 落地窗 ; 阳台B / 2.76平米 / 西 / 普通窗,
高得房率，安静楼栋，高楼层视野好,"合正观澜汇一期 , 观澜",3室2厅,89.47平米,南,毛坯,31层,2016年,板塔结合,465 万,51973 元,1,,,近地铁 | VR房源 | 随时看房,https://sz.lianjia.com/ershoufang/105121202453.html,地铁 | VR房源 | 随时看房,高楼层采光好通风好 ，得房率高户型， 安静满五唯一,合正品牌开发商，小区是2015年新社区，2017年7月毛坯交房，小区共计6栋，三梯六户，户型为75，80，83，88，89，125，141，180平米3-5房。小区自带泳池。楼下自带商.业。居住便捷舒适。,福成天虹商场就在楼下，购物便利。楼下就是茜坑地铁的B口，出行便利。商城，观影，餐饮，购物，休闲一站式,小区临.近观澜大道，交通便捷，4号线已开通，茜坑站。龙观快速接驳福龙路，直达福田香蜜湖，梅观高速，机荷高速,,,暂无数据,2025-06-24,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-06-24 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 36.21平米 / 北 / 普通窗 ; 卧室A / 7.71平米 / 北 / 落地窗 ; 卧室B / 13.92平米 / 无 / 未知窗户类型 ; 卧室C / 6.45平米 / 无 / 未知窗户类型 ; 厨房 / 4.78平米 / 北 / 普通窗 ; 卫生间A / 4.65平米 / 北 / 落地窗 ; 卫生间B / 4.74平米 / 无 / 未知窗户类型 ; 阳台 / 2.69平米 / 北 / 普通窗 ; 阳台 / 4.98平米 / 北 / 普通窗 ; 过道 / 4.12平米 / 无 / 无窗,
精装两房，已满五年，楼层好，看房方便。,"正兆 · 茗语华苑 , 观澜",2室2厅,63.51平米,东南,精装,高楼层(共32层),2014年,塔楼,138 万,21729 元,9,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105119627906.html,VR看装修 | 随时看房,此房满了五年，高楼层，业主诚心要卖，价格还可以聊的，税费少。,小区绿化30%，小区有图书馆，运动场业主10年买的房子7栋花园电梯小区，绿化30%，人车分流，小区有图书馆，少儿室内亲子室，运动场，乒乓球室。,,,,,2025-01-23,2025-02-10,商品房,普通住宅,未满两年,非共有,无抵押,挂牌时间:2025-02-10 | 交易权属:商品房 | 上次交易:2025-01-23 | 房屋用途:普通住宅 | 房屋年限:未满两年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,客厅 / 19.07平米 / 东南 / 普通窗 ; 卧室A / 7.72平米 / 无 / 未知窗户类型 ; 卧室B / 9.73平米 / 无 / 未知窗户类型 ; 厨房 / 3.81平米 / 无 / 普通窗 ; 卫生间 / 3平米 / 东北 / 普通窗 ; 阳台A / 2.41平米 / 东南 / 普通窗 ; 阳台B / 2.95平米 / 东南 / 普通窗,
华为基地旁 深圳的启点，从这里开始，圆你买房深圳梦,"福星雅园  , 观澜",1室1厅,28.78平米,东南,简装,低楼层(共12层),1999年,,34 万,11814 元,78,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105117272620.html,VR看装修 | 房本满五年,精装修，上车门槛低，的住宅优秀的您值得拥有,,,,,房子是红本在手的，没有抵押给银行，几天内客户就可以拿到红本，相对于抵押的房子节省了一个月的时间,2014-07-02,2024-06-12,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2024-06-12 | 交易权属:商品房 | 上次交易:2014-07-02 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,卧室 / 13.78平米 / 无 / 未知窗户类型 ; 厨房 / 1.97平米 / 西南 / 普通窗 ; 卫 / 1.66平米 / 西南 / 普通窗,
观澜大社区，业主诚心出售，视野宽阔，楼层好。,"阳基御龙山 , 观澜",3室2厅,85.9平米,东南,精装,31层,2018年,板塔结合,275 万,32014 元,3,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105120547169.html,VR看装修 | 随时看房,观澜大社区，业主诚心出售，视野宽阔，楼层好。,阳基御龙山位于福城办事处福前路南侧，为山水资源同享的高品质纯居项目，共922户，1、2、3、5栋为住宅，适合居家人群,有比邻新天地、天虹商圈，观澜湖新城，购物、休闲、娱乐一应俱全；同时项目自带社区，生活便利，配套设施齐全。,小区门口左转就是公交车站，悦兴围村口：b766路;m225路;m285路;m337路;m464路等 距离港铁4号线延长线长湖站距离大概800米 日常交通出行方便,,,暂无数据,2025-04-27,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-04-27 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
招商锦绣观园 2室2厅 西南,"招商锦绣观园 , 观澜",2室2厅,63.88平米,西南,,低楼层(共28层),2014年,,158 万,24734 元,2,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105121453204.html,VR看装修 | 房本满五年,看山景，安静，楼层适中，视野宽阔，采光充足，配套设施齐全。,园区环境好，有幼儿园、社康、社区活动室，园区广场人车分流，人文环境好，适合刚需家庭。,两公里左右有两所公交书包、福城天虹、茜坑和竹村双地铁口。楼下有社康、党群、室内恒温游泳池、洗修车店等各类生活配套齐全。,出小区大门就是龙华环城绿道入口、茜坑水库，两公里内有行知学校、天虹商场、茜坑地铁、茜坑露营广场。,,,2014-01-19,2025-07-15,商品房,普通住宅,满五年,非共有,有抵押 130万元,挂牌时间:2025-07-15 | 交易权属:商品房 | 上次交易:2014-01-19 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 130万元 | 房本备件:已上传房本照片,客厅 / 20.6平米 / 西南 / 落地窗 ; 卧室A / 6.37平米 / 西北 / 普通窗 ; 卧室B / 8.57平米 / 西南 / 普通窗 ; 厨房 / 4.54平米 / 西北 / 普通窗 ; 卫 / 2.13平米 / 无 / 无窗 ; 阳台A / 2.09平米 / 西 / 普通窗 ; 阳台B / 3.57平米 / 西南 / 落地窗,
