标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
坂田次新大盘 信义嘉御山大平层出售，看房方便,"信义嘉御山 , 坂田",4室2厅,133.38平米,东南,精装,中楼层(共33层),2013年,板塔结合,780 万,58480 元,19,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105117574323.html,地铁 | VR看装修 | 随时看房,此房中高楼层客厅出阳台，看小区花园和泳池采光视野都很棒,信义嘉御山大一期分三期开发（1-3期）共3008户。2013-2015年底交房，小区内有泳池，2-4房户型都有，66平-77平2房，83-88平3房，86平 复式4房3卫；117-217平 改善大户型，户型很全面，适合各种需求的客户。,"信义在坂田开发的大社区的，小区一共有8期，1期楼下天虹商场有星巴克，奈雪，喜茶，面点王，健身会所，SAP等，2017年年底还开了佳华商场MAX.CITY.,有海底捞，探鱼等餐饮名店，还有电影院，电玩城等业态。",信义嘉御山是双地铁物业，地铁5号线“五和站”+10号线“坂田北站”，小区停车场出来拐个弯就上梅观高速G94去福田南山都很便利，小区门口也有多路公交达深圳各地，地铁+公交+自驾，都方便快捷。,,,暂无数据,2024-07-11,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2024-07-11 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 37.39平米 / 北 东 / 落地窗 ; 卧室A / 13.73平米 / 无 / 未知窗户类型 ; 卧室B / 11.2平米 / 无 / 未知窗户类型 ; 卧室C / 16.56平米 / 无 / 未知窗户类型 ; 卧室D / 9.97平米 / 北 / 普通窗 ; 厨房 / 5.97平米 / 无 / 未知窗户类型 ; 卫A / 4.96平米 / 无 / 未知窗户类型 ; 卫B / 4.69平米 / 无 / 未知窗户类型 ; 阳台 / 5.22平米 / 北 东 / 普通窗 ; 储物间 / 4.27平米 / 无 / 无窗 ; 过道 / 5.93平米 / 无 / 无窗,
璞悦山少有安静景观大四房 可办3张停车卡 满五红本,"璞悦山 , 坂田",4室1厅,170.4平米,西南,精装,高楼层(共33层),2013年,板楼,918 万,53874 元,10,,,VR看装修,https://sz.lianjia.com/ershoufang/105118858082.html,VR看装修,此房有入户花园安静看山看水景观好 满五红本税少,万科璞悦山，小区绿化，环境好，且小区后面有业主私家登山道，有钓鱼场，适合全家游玩，小区内有会所，有泳池，社区自带幼儿园，生活也很便利。现代中式建筑风格，树木林立郁郁葱葱，花草遍地，芬芳满园，适合生活居家。,"100米处是万科里购物，星巴克，钱大妈。300米处是万科第五园五期乐购，百果园，湾畔MALL。手造文化街，星河CoCo Park,奥特莱斯，8号仓，万科广场等",,,,暂无数据,2024-11-09,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2024-11-09 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 38.93平米 / 西南 / 普通窗 ; 卧室A / 14.43平米 / 西南 东南 / 落地窗 ; 卧室B / 14.19平米 / 西南 / 落地窗 ; 卧室C / 21.9平米 / 西南 西北 / 落地窗 ; 卧室D / 10.3平米 / 东北 / 落地窗 ; 厨房 / 7.58平米 / 东北 / 落地窗 ; 卫A / 4.47平米 / 东南 / 普通窗 ; 卫B / 4.28平米 / 东北 / 落地窗 ; 卫C / 7.65平米 / 东北 / 普通窗 ; 阳台A / 7.68平米 / 西南 西北 东南 / 普通窗 ; 阳台B / 3.35平米 / 东北 / 落地窗 ; 过道 / 3.53平米 / 无 / 无窗 ; 门厅 / 8.55平米 / 东北 / 普通窗,
此房满五红本花园中间位置，双阳台户型好业主诚售！,"万科四季花城七期 , 坂田",3室1厅,105.46平米,东 西,精装,高楼层(共6层),2003年,板楼,395 万,37455 元,5,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105120558407.html,地铁 | VR看装修 | 随时看房,此房满五红本，花园中间位置，双阳台，户型好，业主诚售,小区由万科地产集团开发，一共有36个独立苑，共分七期开发，花园式小区，绿化植被很多，带露天游泳池和健身会所及相应运动器械供住户健身，社区运动氛围棒；万科物业24小时严格管控，夜间有保安巡逻，外人基本无法随意出入，人车分流，充分保护行人!,,地铁5号线和10号线五和站A口，交通发达，小区旁边有布龙路、梅观高速、机荷高速、南坪快速等，乘坐公交或驾车出行到福田、罗湖、南山等地较方便（距离信息来源于百度地图）还有在修的深大城际和深惠城际,,,暂无数据,2025-04-28,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-04-28 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 28.85平米 / 西 / 普通窗 ; 卧室A / 17.77平米 / 无 / 未知窗户类型 ; 卧室B / 10.25平米 / 无 / 未知窗户类型 ; 卧室C / 7.53平米 / 东 / 普通窗 ; 厨房 / 8.3平米 / 东 / 普通窗 ; 卫A / 4.25平米 / 北 / 普通窗 ; 卫B / 2.81平米 / 西 / 普通窗 ; 阳台A / 6平米 / 西 北 / 普通窗 ; 阳台B / 2.62平米 / 北 东 东北 / 普通窗 ; 过道 / 3.78平米 / 无 / 无窗,
此房高楼层 精装修 户型采光日照很好 业主诚心出售,"和成嘉业 , 坂田",3室2厅,81.86平米,西,,高楼层(共33层),2020年,板楼,410 万,50086 元,4,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105121158106.html,地铁 | VR看装修,此房高楼层 精装修 户型采光日照很好 业主诚心出售,"小区由金合成开发和管理,于2016年批地,2019年入伙,共有800多户,两层车库,车位不紧张,车位1：1.8，主力户型为80-89-91-118-1140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好,居住舒适度高",小区自带乒乓球室、棋牌室及锻炼器材广场。门口有华润万家，钱大妈，龙华大润发沃尔玛往返车等满足业主的日常需求。步行700米可至杨美美食街，鑫华盛百货，美家福百货等。距离深圳坂田医院2500米。3公里内有坂田天虹，佳华领汇广场，8号仓，星河。,（参靠高德地图）地铁5号线杨美站C出口792米，西至前海湾东至黄贝岭。东南门M572路可直达终点深圳北站或步行792米至杨美地铁公交站有多条公交路线可达深圳各区域。可直上布龙路、清平、南坪、水官，坂银隧道已建成通车，实现10公里至福田皇岗立交。,,,暂无数据,2025-06-20,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2025-06-20 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 18.72平米 / 北 / 普通窗 ; 卧室A / 12.95平米 / 无 / 未知窗户类型 ; 卧室B / 5.5平米 / 北 / 普通窗 ; 卧室C / 7.85平米 / 北 / 普通窗 ; 厨房 / 7.02平米 / 北 / 普通窗 ; 卫 / 3.5平米 / 北 / 普通窗 ; 阳台 / 4.73平米 / 北 / 普通窗 ; 过道 / 3.35平米 / 无 / 无窗,
坂田地铁口交通方便，满五税费少，户型方正实用率高,"德润荣君府 , 坂田",4室2厅,89.83平米,东,精装,高楼层(共39层),2017年,板楼,555 万,61784 元,4,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105121200977.html,地铁 | VR看装修 | 随时看房,坂田地铁口交通方便，满五税费少，户型方正实用率高,2017年底交房的次新小区，全电梯高层，共7栋，由住宅和公寓（1栋）组成，合围起来楼下有花园和泳池，可供休憩玩耍。自带上千平商ye配套，日常基本生活需求能得到满足，地下3层停车库，1：1配置，再也不用担心停车的问题了。,楼下自带幼稚园、5千㎡底商。布龙路以北万科十几万㎡商写综合体建设中，西侧在建华侨城住宅、幼儿园及和美外国语项目（30班1500位置）。距小区100米有大型万科综合体 1km有两万㎡万科里。2km内有阳光湾畔、8号仓、坂田天虹等商场。北为坂田医院,5号线坂田地铁口大约700米，去宝安或者罗湖都很方便。 小区门口就是公交站； 小区前面是坂雪岗大道和布龙路，自驾的话，1千米内可以上南坪快速，再走水官高速到龙岗，梅观高速到观澜和东莞，或者经梅林关，新彩隧道进福田，罗湖和南山都很方便。,,,暂无数据,2025-06-24,商品房,普通住宅,暂无数据,非共有,有抵押 190万元 业主自还,挂牌时间:2025-06-24 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 190万元 业主自还 | 房本备件:未上传房本照片,客厅 / 30.54平米 / 北 南 / 普通窗 ; 卧室A / 11.51平米 / 无 / 未知窗户类型 ; 卧室B / 7.01平米 / 无 / 未知窗户类型 ; 卧室C / 7.61平米 / 无 / 未知窗户类型 ; 卧室D / 6.7平米 / 无 / 未知窗户类型 ; 厨房 / 6.07平米 / 南 / 普通窗 ; 卫A / 3.63平米 / 无 / 未知窗户类型 ; 卫B / 3.69平米 / 无 / 未知窗户类型 ; 阳台 / 3.82平米 / 南 / 普通窗,
双层入户 南北透透 客厅带一个大的阳台 精装修,"春华四季园二期 , 坂田",3室1厅,67.45平米,南,精装,高楼层(共17层),2007年,板塔结合,368 万,54559 元,1,,,VR房源 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105120443414.html,VR房源 | 房本满五年 | 随时看房,此房满5年唯一 朝南 南北透通 精装修 很适合住家,小区是拥有43栋的大型花园小区，小区基本上都是11层和17层高的小高层，密度低，小区绿化好，带一个2000平米的人工湖，环境很宜人。,小区自带：小区一条街、华润万家、特蕾丝幼儿园、游泳馆、网球场、篮球场、羽毛球场、休闲会所等配套，生活购物便利，购物：8号仓奥特莱斯、龙华名车广场，东门离阳光湾畔购物广场、海达和成购物广场,小区离地铁五和站1000米，深圳北站2公里，小区南门有多趟公交车直达南山，罗湖，福田，开车可以直接在南门上梅观高速转南坪快速，机荷高速，关口位置，交通便利,,,2015-05-14,2025-04-17,商品房,普通住宅,满五年,非共有,有抵押,挂牌时间:2025-04-17 | 交易权属:商品房 | 上次交易:2015-05-14 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:已上传房本照片,客厅 / 24.1平米 / 南 / 落地窗 ; 卧室A / 13.4平米 / 无 / 未知窗户类型 ; 卧室B / 6.75平米 / 北 / 落地窗 ; 卧室C / 10.73平米 / 西 / 普通窗 ; 厨房 / 4.16平米 / 北 / 普通窗 ; 卫 / 3.84平米 / 北 / 落地窗 ; 阳台A / 18.67平米 / 西 南 / 落地窗 ; 阳台B / 6.75平米 / 西 北 东 / 落地窗,
满五唯一，实用面积大 双层入户挑空,"中海月朗苑 , 坂田",3室1厅,69.78平米,南 北,精装,高楼层(共11层),2006年,板楼,366 万,52451 元,4,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105121612717.html,地铁 | VR房源,满五唯一，实用面积大 双层入户挑空,中海月朗苑项目位于深圳市龙岗区布吉坂田南，距梅林关口约4公里，距坂银隧道1.9公里（来自百度地图），上南坪快速很便捷，用地基本为矩形，住宅楼型为多层，小高层，高层相结合，拥有近20000平方米的花园，小区完全人车分流，展现一种宽适、自然、休闲生活。,,小区东边坂雪岗大道接南坪快速、西边五和大道接梅观高速，近坂银隧道口，直通福田笋岗路与北环大道；近地铁10号线南坑站及光雅园站，直线距离约700米，交通便利。,,,暂无数据,2025-07-30,商品房,普通住宅,暂无数据,非共有,有抵押 100万元,挂牌时间:2025-07-30 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 100万元 | 房本备件:未上传房本照片,客厅 / 36.97平米 / 无 / 未知窗户类型 ; 卧室A / 10.78平米 / 无 / 未知窗户类型 ; 卧室B / 8.34平米 / 无 / 未知窗户类型 ; 卧室C / 8.05平米 / 无 / 无窗 ; 厨房 / 4.11平米 / 南 / 普通窗 ; 卫 / 5.14平米 / 无 / 未知窗户类型 ; 阳台A / 2.27平米 / 南 / 普通窗 ; 阳台B / 5.56平米 / 北 / 落地窗 ; 储物间 / 5.1平米 / 北 / 落地窗 ; 楼梯间 / 3.07平米 / 北 / 落地窗 ; 过道 / 3.56平米 / 无 / 无窗,
坂田电梯高层次新房，东向3房，保养好,"大族云峰一期 , 坂田",3室2厅,92.19平米,东南,精装,高楼层(共29层),2019年,板塔结合,488 万,52935 元,5,,,近地铁 | VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105119409324.html,地铁 | VR看装修 | 房本满五年,次新小区，停车位充足，人车分流，花园大，生活配套齐全,小区分2期，共8栋住宅围合建成，楼间距宽，住家舒适，次新小区，现代园林布景美观，人车分离。,楼下就是商场 ，2020年次新房，小区很安静 ， 环境好 ，房子外墙也比较新 ，物业很好 ，24小时安保。,从小区出发900米到坂田地铁口（数据来自百度地图）出行方便，坂雪岗大道就在小区左侧面，一个红绿灯，直到坂垠通道入口，过了通道就是福田上步路，出行方便，门口就有公交车站。,,,2019-01-07,2025-01-05,商品房,普通住宅,满五年,非共有,有抵押 300万元 工商银行,挂牌时间:2025-01-05 | 交易权属:商品房 | 上次交易:2019-01-07 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 300万元 工商银行 | 房本备件:已上传房本照片,客厅 / 26.77平米 / 东 / 普通窗 ; 卧室A / 8.91平米 / 无 / 未知窗户类型 ; 卧室B / 12.24平米 / 无 / 未知窗户类型 ; 卧室C / 6.77平米 / 北 / 落地窗 ; 厨房 / 6.57平米 / 北 / 落地窗 ; 卫A / 2.44平米 / 无 / 无窗 ; 卫B / 1.88平米 / 无 / 无窗 ; 阳台 / 4.53平米 / 北 东 / 普通窗 ; 过道 / 2.97平米 / 无 / 无窗,
五和双地铁口，户型方正通透，满五唯一税费少,"和成世纪名园 , 坂田",2室2厅,72.13平米,南,,中楼层(共29层),2014年,板楼,340 万,47138 元,0,,26天以前发布,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105122095473.html,地铁 | VR看装修,此房满五唯一，户型方正，采光好，配套齐全，交通便利。,和成世纪名园位于五和大道和布龙路交汇处东南角，五和地铁口B出口，项目由深圳市金安业房地产开发有限公司打造的现代化都市综合体项目。小区有3栋高层和1栋写字楼，写字楼和住宅分开管理，小区停车位充足，有3层地下停.,和成世纪自己带三层的购物广场，电影院等，1公里有坂田万致天地，天虹，佳华领汇，8号仓大型的购物广场，2公里内有银湖山效野公园,地铁：5号线五和站，10号线五和，在建的深大城际（33号线）26年开通，高速：清平高速--直通清水河，龙景立交转清平高速至布龙路；南平快速：直通福田，南山（均免费）坂银隧道：将坂田与银湖山之间建设坂银隧道,,,暂无数据,2025-09-11,商品房,普通住宅,暂无数据,共有,有抵押,挂牌时间:2025-09-11 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 20.83平米 / 南 / 落地窗 ; 卧室A / 11.21平米 / 南 / 落地窗 ; 卧室B / 9.44平米 / 南 / 落地窗 ; 厨房 / 4.87平米 / 南 / 落地窗 ; 卫 / 2.77平米 / 无 / 落地窗 ; 阳台A / 6.36平米 / 南 / 落地窗 ; 阳台B / 2.46平米 / 南 / 落地窗,
满五年，花园中间位置 园林景观,"万科四季花城二期 , 坂田",2室2厅,62.63平米,北,精装,11层,2000年,板楼,305 万,48699 元,5,,,VR看装修,https://sz.lianjia.com/ershoufang/105120235882.html,VR看装修,此房满五年，花园好位置 刚需置业,小区由万科地产集团开发，一共有36个独立苑，共分七期开发，花园式小区，绿化植被很多，带露天游泳池和健身会所及相应运动器械供住户健身，社区运动氛围棒；万科物业24小时严格管控，夜间有保安巡逻，外人基本无法随意出入，人车分流，充分保护行人安全。,小区内有曼京、海丽达幼儿园等，商场类有华润万家，海达和成购物广场、阳光湾畔，8号仓奥特莱斯等。医疗类有深圳坂田医院、布吉医院花城社康医院（小区内）；网球场，篮球场，健身会所等！,此房距离地铁5号线和10号线A口和200米，交通发达，小区旁边有布龙路、梅观高速、机荷高速、南坪快速等，乘坐公交或驾车出行到福田、罗湖、南山等地较方便（距离信息来源于百度地图,,,暂无数据,2025-03-30,商品房,普通住宅,暂无数据,非共有,有抵押 183万元 中国银行 业主自还,挂牌时间:2025-03-30 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 183万元 中国银行 业主自还 | 房本备件:未上传房本照片,客厅 / 21.15平米 / 北 / 落地窗 ; 卧室01 / 11.87平米 / 无 / 未知窗户类型 ; 卧室02 / 5.98平米 / 北 / 落地窗 ; 厨房 / 3.35平米 / 北 / 普通窗 ; 卫 / 3.25平米 / 北 / 普通窗 ; 阳台 / 3.87平米 / 北 / 落地窗,
坂田小区使用率高 满五唯一红本,"中海月朗苑 , 坂田",4室2厅,88.58平米,北,精装,中楼层(共11层),2006年,板楼,448 万,50576 元,8,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105118766598.html,地铁 | VR房源,房子满五唯一红本税少，使用率高,中海月朗苑项目位于深圳市龙岗区布吉坂田南，中海物业，距梅林关口约4公里（来自百度地图），上南坪快速很便捷，用地基本为矩形，住宅楼型为多层，小高层，高层相结合，拥有近20000平方米的花园，小区完全人车分流，展现一种宽适、自然、休闲、的生活氛围,楼下就有钱大妈，平方商场，药店等能满足平时的日常所需；两公里内有八号仓，坂田天虹，阳光湾畔 等购物商场。,"10号地铁线700米，步行，小区北门出来就是公交站。 小区门口就是公交站台，M300,M572,393,621,东边坂雪岗大道接南坪快速、西边五和大道接梅观高速，交通便利，地铁十号线，坂银隧道直通福田笋岗路与北环大道，交通便利！",,,暂无数据,2024-10-31,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2024-10-31 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 23.31平米 / 北 / 落地窗 ; 卧室A / 10.51平米 / 无 / 未知窗户类型 ; 卧室B / 14.33平米 / 无 / 未知窗户类型 ; 卧室C / 9.69平米 / 无 / 未知窗户类型 ; 卧室D / 17.43平米 / 北 / 落地窗 ; 厨房 / 4.14平米 / 北 / 普通窗 ; 卫 / 4.32平米 / 无 / 未知窗户类型 ; 阳台A / 2.72平米 / 北 / 普通窗 ; 阳台B / 7.06平米 / 北 / 普通窗 ; 入户花园 / 19.75平米 / 北 / 落地窗 ; 过道 / 3.68平米 / 无 / 无窗,
业主诚心卖，精装修可拎包入住，,"春华四季园二期 , 坂田",3室2厅,74.37平米,东南,精装,高楼层(共17层),2007年,板塔结合,358 万,48138 元,2,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105117406281.html,VR看装修 | 房本满五年,春华四季园二期客厅出阳台的三房一卫 楼层高位置好 满五唯一,小区总建筑面积430000㎡，总规划户数约3300户，拥有完善的配套设施，6000㎡的湖坡，1000米的风情街，室外泳池及室内恒温泳池、3000㎡的运动场地、幼儿园等，金光华物业。二期户型丰富多样，包括70㎡的两房.95-100㎡左右的三房.136-158㎡的四房五房 141㎡的..,小区自带：小区一条街、华润万家、特蕾丝幼儿园、游泳馆、网球场、篮球场、羽毛球场、休闲会所等配套，生活购物便利，购物：8号仓奥特莱斯、龙华名车广场，东门离阳光湾畔购物广场、海达和成购物广场,,,,2009-04-14,2024-06-25,商品房,普通住宅,满五年,非共有,有抵押 350万元 建行 业主自还,挂牌时间:2024-06-25 | 交易权属:商品房 | 上次交易:2009-04-14 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 350万元 建行 业主自还 | 房本备件:已上传房本照片,客厅 / 42.06平米 / 东南 / 普通窗 ; 卧室A / 8.92平米 / 东北 / 落地窗 ; 卧室B / 17.57平米 / 西南 西北 东北 东南 / 落地窗 ; 卫 / 3.76平米 / 东北 / 普通窗 ; 阳台 / 4.49平米 / 西南 东南 / 普通窗 ; 储物间 / 8.35平米 / 无 / 未知窗户类型,
万科第五园璞悦山横厅户型高楼层看山看湖,"璞悦山 , 坂田",4室2厅,175平米,南,,中楼层(共33层),2013年,板楼,1150 万,65715 元,8,,,VR看装修,https://sz.lianjia.com/ershoufang/105119062597.html,VR看装修,万科精装修双套间大四房，视野开阔，满五唯一，景观好,万科璞悦山，小区绿化，环境好，且小区后面有业主私家登山道，有钓鱼场，适合全家游玩，小区内有会所，有泳池，社区自带幼儿园，生活也很便利。现代中式建筑风格，树木林立郁郁葱葱，花草遍地，芬芳满园，适合生活居家。,"100米处是万科里购物，星巴克，钱大妈。300米处是万科第五园五期华润万家，百果园。手造文化街，星河CoCo Park,奥特莱斯，8号仓等",小区出门就可上南坪快速，去南山宝安很方便，上坂银隧道去到罗湖福田。出行方便，看房方便。,,,暂无数据,2024-11-29,商品房,普通住宅,暂无数据,非共有,有抵押 900万元,挂牌时间:2024-11-29 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 900万元 | 房本备件:未上传房本照片,客厅 / 70.22平米 / 西南 / 落地窗 ; 卧室A / 14.43平米 / 无 / 未知窗户类型 ; 卧室B / 15.29平米 / 东南 / 落地窗 ; 卧室C / 11.97平米 / 无 / 未知窗户类型 ; 卧室D / 17.27平米 / 无 / 未知窗户类型 ; 厨房 / 7.47平米 / 西北 / 落地窗 ; 卫A / 3.86平米 / 东北 / 普通窗 ; 卫B / 5.7平米 / 东南 / 普通窗 ; 卫C / 7.37平米 / 西北 / 普通窗 ; 阳台 / 2.72平米 / 西北 / 落地窗 ; 衣帽间 / 3.11平米 / 无 / 无窗,
坂田地铁口次新小区安静舒适业主诚心卖,"和成嘉业 , 坂田",3室2厅,91.77平米,南,精装,低楼层(共31层),2020年,,490 万,53395 元,1,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105120606139.html,地铁 | VR看装修,此房满五唯一，交通便利，朝南，户型方正，业主诚心卖,"小区由金和成开发和管理,于2016年批地,2019年入伙,共有800多户,两层车库,车位不紧张,车位1：1，主力户型为80-89-91-118-140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好。",小区自带乒乓球室、棋牌室及锻炼器材广场。门口有华润万家，钱大妈，龙华大润发沃尔玛往返车等满足业主的日常需求。步行700米可至杨美美食街，鑫华盛百货，美家福百货等。距离深圳坂田医院2500米。3公里内有坂田天虹，佳华领汇广场，8号仓，星河。,（参靠高德地图）地铁5号线杨美站C出口792米，西至前海湾东至黄贝岭。东南门M572路可直达终点深圳北站或步行792米至杨美地铁公交站有多条公交路线可达深圳各区域。可直上布龙路、清平、南坪、水官，坂银隧道已建成通车，实现10公里至福田皇岗立交,,,暂无数据,2025-05-03,商品房,普通住宅,暂无数据,非共有,有抵押 200万元,挂牌时间:2025-05-03 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 200万元 | 房本备件:未上传房本照片,客厅 / 20.39平米 / 北 / 普通窗 ; 卧室01 / 9.61平米 / 无 / 未知窗户类型 ; 卧室02 / 13.4平米 / 无 / 未知窗户类型 ; 卧室03 / 6.29平米 / 北 / 普通窗 ; 厨房 / 6.31平米 / 北 / 普通窗 ; 卫01 / 3.91平米 / 无 / 无窗 ; 卫02 / 2.87平米 / 北 / 普通窗 ; 阳台 / 5平米 / 北 / 普通窗 ; 过道 / 2.82平米 / 无 / 无窗,
南向瞰山景，坂银3房，近地铁双电梯,"万科第五园三期 , 坂田",3室2厅,82.72平米,南,精装,中楼层(共19层),2007年,塔楼,415 万,50170 元,4,,,VR房源,https://sz.lianjia.com/ershoufang/105114781376.html,VR房源,此房高楼层，南向看银湖山景。满五不唯一，业主自住保养好。,坂田万科第五园徽派建筑风格小区，私密性十足，人车分流，非 常安静。小区总占地2 5完平方米，位于坂雪岗片区南端内最 大的居住社区，万科物业管理。,,小区出门即上坂银通道、南坪快速、快速通达罗湖，福田，南山，驾车出行非 常方便，家门口有一所幼儿园。,,,暂无数据,2023-09-12,商品房,普通住宅,暂无数据,非共有,有抵押 200万元 北京银行 客户偿还,挂牌时间:2023-09-12 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 200万元 北京银行 客户偿还 | 房本备件:未上传房本照片,客厅 / 25.82平米 / 南 / 普通窗 ; 卧室A / 6.2平米 / 西 / 落地窗 ; 卧室B / 8.59平米 / 无 / 未知窗户类型 ; 卧室C / 11.35平米 / 无 / 未知窗户类型 ; 厨房 / 4.79平米 / 南 / 普通窗 ; 卫生间 / 3.66平米 / 西 / 普通窗 ; 阳台A / 5.23平米 / 北 南 / 普通窗 ; 阳台B / 1.78平米 / 南 / 普通窗 ; 储物间 / 5.48平米 / 西 / 落地窗 ; 过道 / 1.68平米 / 无 / 无窗,
5号线坂田地铁口，电梯高层3房，南向，满五年红本！,"珠江旭景佳园 , 坂田",3室2厅,90.27平米,南,简装,高楼层(共18层),2008年,塔楼,375 万,41543 元,7,,,近地铁 | VR看装修 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105111015081.html,地铁 | VR看装修 | 房本满五年 | 随时看房,满五年红本，朝正南看花园，电梯高层，离五号线坂田站350米。,小区分3期开发，近1500户，地铁口物业，紧靠银湖山和坂银隧道，地理位置优越，进出关内外方便。小区房价处于区域谷值，同区域二手房对比有很大的优势。所以有很多关内的客户在此小区置业。生活配套成熟，是刚需值得购买的小区。,二期内有旭景幼稚园。小区东南侧3千㎡底商，南侧有大族云峰商场已开业；距小区300米有两万㎡万科里。2km内有阳光湾畔、8号仓、坂田天虹等商场。1km有坂田医院。,"四通八达,小区邻布龙路坂雪岗大道两大动脉,南面1km上坂银南坪,通达福田南山方便；东面两个灯位上清平水官,通达罗湖盐田惠州；西侧2km上G94,1h到宝安东莞广州；北达天安和华为。250米到5号线坂田地铁口,1站换10号线到福田口岸。小区东门150m到公交站。",,,2015-07-06,2022-07-17,商品房,普通住宅,满五年,非共有,有抵押 162万元 建设银行,挂牌时间:2022-07-17 | 交易权属:商品房 | 上次交易:2015-07-06 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 162万元 建设银行 | 房本备件:已上传房本照片,客厅 / 29.23平米 / 南 / 普通窗 ; 卧室A / 8.44平米 / 无 / 未知窗户类型 ; 卧室B / 5.8平米 / 东 / 落地窗 ; 卧室C / 14.23平米 / 无 / 未知窗户类型 ; 厨房 / 4.35平米 / 无 / 无窗 ; 卫生间 / 3.37平米 / 东 / 普通窗 ; 阳台 / 4.82平米 / 南 / 普通窗,
